Name,Specialties,Address,Area,OpenHours,Rating,Contact,Type
HealPoint Hospital,Pediatrics;Oncology;General Medicine,16 Dadar East Road,Dadar East,24 Hours,4.1,022-27889944,Private
Radiant Hospital,Neurology;Psychiatry;Surgery,47 Malad East Road,Malad East,8 AM - 8 PM,4.2,022-27772211,Private
Bluecross Hospital,Cardiology;General Medicine;Oncology,79 Bandra East Road,Bandra East,24 Hours,4.3,022-28889999,Private
GreenCare Hospital,Orthopedics;ENT;General Medicine,28 Powai Road,Powai,9 AM - 9 PM,4.1,022-26779900,Private
Red Cross Hospital,Emergency;Surgery;Neurology,33 Kurla West Road,Kurla West,24 Hours,4.2,022-26550022,Private
Mumbai Heart Center,Cardiology;Pulmonology;General Medicine,91 Borivali East Road,Borivali East,8 AM - 8 PM,4.3,022-26665555,Private
OncoLife Hospital,Oncology;Radiology;Surgery,44 Bandra West Road,Bandra West,24 Hours,4.1,022-28887700,Private
ChildCare Hospital,Pediatrics;ENT;General Medicine,22 Andheri West Road,Andheri West,9 AM - 9 PM,4.2,022-26668888,Private
Vision Eye Hospital,Ophthalmology;General Medicine,37 Malad West Road,Malad West,24 Hours,4.3,022-26770033,Private
Mumbai ENT Center,ENT;Surgery;General Medicine,15 Kurla East Road,Kurla East,8 AM - 8 PM,4.1,022-26889922,Private
NeuroPlus Hospital,Neurology;Psychiatry;Emergency,60 Dadar West Road,Dadar West,24 Hours,4.2,022-24334444,Private
Orthocare Hospital,Orthopedics;General Medicine;Surgery,42 Borivali West Road,Borivali West,9 AM - 9 PM,4.3,022-26660033,Private
